MinimaxAgent,3,trappedClassic,-353.57,1.72E-03
MinimaxAgent,4,trappedClassic,-501.29,1.15E-03
AlphaBetaAgent,2,trappedClassic,-501,0.00E+00
AlphaBetaAgent,3,trappedClassic,-501,2.87E-04
AlphaBetaAgent,4,trappedClassic,-501,1.15E-03
RandomExpectimaxAgent,2,trappedClassic,-354.29,1.44E-04
RandomExpectimaxAgent,3,trappedClassic,236.57,2.15E-04
RandomExpectimaxAgent,4,trappedClassic,88.86,3.58E-04
,,,,
OriginalReflexAgent,1,trickyClassic,-34.14,6.54E-05
ReflexAgent,1,trickyClassic,-284.57,5.33E-04
MinimaxAgent,2,trickyClassic,941.14,1.20E-02
MinimaxAgent,3,trickyClassic,870.29,1.08E-01
MinimaxAgent,4,trickyClassic,1161,8.75E-01
AlphaBetaAgent,2,trickyClassic,970.57,7.38E-03
AlphaBetaAgent,3,trickyClassic,-135.43,2.80E-02
AlphaBetaAgent,4,trickyClassic,1171.57,1.53E-01
RandomExpectimaxAgent,2,trickyClassic,996.43,9.50E-03
RandomExpectimaxAgent,3,trickyClassic,330.43,1.27E-01
RandomExpectimaxAgent,4,trickyClassic,1148.43,9.43E-01
